t,u,u_sing,psi,q,mean_N,total_N,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
0.0,2.737195490656644,0.3589218976698513,-1.582993883503601,5.145893338717842e-34,10.0,210.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0.05,2.737919462587217,0.4181249144754321,-1.2172364161255764,4.5059178543695274e-26,9.068176554804138,190.4317076508869,9.031928436472086,9.035322648782065,9.045178999171116,9.060527832382544,9.079789741228712,9.10085117461427,9.121208401530865,9.138206058138495,9.149378102426066,9.15285624140964,9.147753248695643,9.134389229631266,9.114250393184774,9.089664514650163,9.063298165425742,9.037649676894489,9.01468729256225,8.995693440846576,8.981288001965705,8.97155874173816,8.966227309136247
0.1,2.7370489238155256,0.4752814285774472,-0.915135593838933,1.636135526552025e-19,8.24335071635428,173.11036504343988,8.17723286256233,8.18337347495017,8.201218131327003,8.229045663775034,8.264034729631963,8.302378346997079,8.33952560203911,8.370608163852719,8.391073034395344,8.397456488796447,8.388117026520195,8.363666212442675,8.326882279569787,8.282083233884972,8.234173271858253,8.187701130101793,8.146208248010975,8.111967495745633,8.086048414383345,8.068569011032343,8.059002221562746
0.15,2.7329314365410555,0.5304178952277432,-0.6693391751045112,3.5581208226492595e-14,7.511770778238054,157.74718634299913,7.421247214393191,7.429597587958881,7.453881524124972,7.491803165635307,7.539574663039188,7.592041677494866,7.642986190028394,7.685699096306969,7.713862240791986,7.722649388559013,7.709778039024024,7.6761253429880645,7.625593905507232,7.5642036365206575,7.49873401365725,7.435410469845297,7.379022535509321,7.332596988749995,7.297518154702166,7.273891587890801,7.260968920271562
0.2,2.7216451440338196,0.5835301700739277,-0.47338160814547336,6.403024917257806e-10,6.862111044276278,144.10433192980184,6.751978198568628,6.76209332489096,6.79153053207486,6.837562171697332,6.89565810675873,6.959601150730024,7.021822135342347,7.0740840215845004,7.108576586867699,7.119310110523022,7.103458109486362,7.062140800913228,7.000241351474886,6.9252361580723,6.845474581416996,6.768547458903401,6.700225238968971,6.6440973022710095,6.601756160974224,6.573263588453312,6.557674839829064
0.25,2.6927725739670634,0.6345431509432393,-0.3214707701513291,1.2737569688138913e-06,6.2855713941971,131.9969992781391,6.160277798979797,6.171788586711025,6.205310895301286,6.257799767018116,6.324163822516958,6.397355167198523,6.468714342213206,6.528737753037469,6.568353817930523,6.580579179745174,6.56212730513906,6.514343733148434,6.442971362117154,6.356736871043659,6.265304477896873,6.177372924854101,6.099475192939479,6.035609184990082,5.987491605322274,5.95511755587431,5.937367934161594
0.3,2.6154420029900187,0.683195452912345,-0.20818484628765788,0.00036719791412164637,5.776826123038398,121.31334858380636,5.641052467505067,5.653653707125777,5.690375824870613,5.747945769110209,5.82085319768699,5.901403999610045,5.980058434295048,6.046259723689885,6.089866163565683,6.103044420939074,6.082122303897242,6.028661639741649,5.949170567353553,5.853460503044665,5.752304501777239,5.6553014321222665,5.569571522833542,5.49939853531661,5.446557290341374,5.410958846444693,5.3913277325351485
0.35000000000000003,2.4036711071296333,0.728678676166443,-0.1278371379870329,0.019999282628279345,5.33753228368176,112.08817795731697,5.197610337863508,5.211054136949647,5.250253481323201,5.3117695669455,5.389773425291759,5.476056490779576,5.560351158385227,5.631205662530735,5.677554609782255,5.690831369889155,5.667048624331569,5.607996228072561,5.52089531438942,5.416532875924817,5.306645654717283,5.201580779708717,5.108914411638145,5.033122202098967,4.975984633075215,4.937312528644284,4.915684464975422
0.4,1.9694801225499434,0.7686897395465541,-0.07298990302948383,0.2405813077766655,4.985359559413571,104.692550747685,4.852770763849764,4.866874655921435,4.908011262533316,4.972598150262658,5.0545238347199835,5.145113907099303,5.233431808021897,5.307197751151489,5.35449611184792,5.36610528818652,5.337801290728441,5.271669594742625,5.175685381838173,5.061613333121492,4.9421165376584675,4.828226360595635,4.7279033295556765,4.645752450352225,4.583515420289472,4.54087814581174,4.516265369396775
0.44999999999999996,1.5280299387005183,0.7995598905856353,-0.03360646888298291,0.6941676775795262,4.749244001665084,99.73412403496677,4.643097502775764,4.657778047644283,4.7005892963521045,4.767768620227417,4.8528626799247325,4.946653336996235,5.03744822788266,5.112061392956754,5.157683368685634,5.164456348444669,5.128017218581577,5.050914391839854,4.942077408759667,4.8144327152546635,4.681699360503621,4.555655267486192,4.444650655798693,4.353389357377912,4.2835283627467655,4.234581536807786,4.204778937919781
