condition,family,value,beta,gamma,alpha,n0,method,run_id,J_ref,J_gap_to_direct,relative_gap_to_direct,pmp_kkt_gap,kkt_mean,u_min,u_max,u_mean,terminal_total_N,terminal_mean_N
baseline,baseline,baseline,0.1,20.0,1.0,10.0,direct reference,direct_n400,386.70613634630905,0.0,0.0,3.592309978721025,0.022985600423672894,0.0,3.0,1.3572879237619122,25.536527884122176,1.2160251373391513
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Transformer,seed_0,386.8716672802422,0.1655309339331552,0.00042805354861221015,0.6072895015406251,0.011933897525110499,1.0626516806228676,2.6713996648865823,1.3639879715444798,26.46117872626921,1.2600561298223434
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Transformer,seed_1,386.76999473446574,0.06385838815668876,0.0001651341474951438,0.4175197902384167,0.009030169186523307,1.0427886751489157,2.722876781106061,1.367153440264981,26.41530926773086,1.2578718698919455
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Transformer,seed_2,386.83623553967595,0.13009919336690245,0.00033642908953064474,0.5298553518428435,0.010072034899497987,1.0622072901150874,2.6859544045633266,1.3661385183315065,26.570542871549705,1.2652639462642716
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Neural-PMP [3],best,387.6329204767537,0.9267841304446733,0.0023966108715034787,22.1510157688144,0.05512012365303669,0.0,3.0,1.3347914388376816,27.750485019432418,1.3214516675920198
baseline,baseline,baseline,0.1,20.0,1.0,10.0,constant u=1.5,constant,400.40271607345244,13.696579727143387,0.03541857353635986,76.55645762115101,0.1176225276801971,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,direct reference,direct_n400,325.457147973552,0.0,0.0,3.7082261301412083,0.02382082458703986,0.0,3.0,1.0198406498984534,28.95434613966332,1.378778387603015
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Transformer,seed_0,325.69208358120915,0.23493560765712118,0.0007218634131096492,1.6238443654881336,0.014566212269625772,0.5878126849955099,2.873904519218636,1.026177706073817,30.880629636620675,1.4705061731724132
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Transformer,seed_1,325.6993273735484,0.24217939999635973,0.0007441206976226543,1.7478670924950082,0.014845768222578624,0.5997405017524576,2.874709060201873,1.0267641303675092,30.966741708091156,1.4746067480043408
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Transformer,seed_2,325.7478569786295,0.2907090050774741,0.0008932328169393821,1.651049033752788,0.014845125676882903,0.5942660649379201,2.854264175395346,1.0267221473464372,30.914743371965944,1.472130636760283
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Neural-PMP [3],best,326.0056546481425,0.5485066745904987,0.001685342227097347,17.36063332048865,0.05288240757180008,0.0,3.0,1.0048429932822995,30.309756290861593,1.4433217281362662
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,constant u=1.5,constant,370.4223612657972,44.96521329224515,0.1381601650853865,178.11619870272304,0.2033784082593834,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,direct reference,direct_n400,444.8604960963384,0.0,0.0,4.199132037113657,0.02182265900336712,0.0,3.0,1.6872363693172943,24.335211145691208,1.158819578366248
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Transformer,seed_0,444.91826492519306,0.05776882885464829,0.0001298583024601443,0.1290202898789053,0.005605939446560206,1.4185388051714096,2.859927467294659,1.6968093228225165,23.118050266849853,1.1008595365166596
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Transformer,seed_1,444.9221739581564,0.06167786181799784,0.00013864540088234946,0.1566664928786057,0.0062780123714804535,1.4224414395039675,2.8567442552232087,1.6958957945082536,23.126634735390834,1.1012683207328968
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Transformer,seed_2,444.9292865423964,0.0687904460580171,0.00015463374847093586,0.13912543525314935,0.005773097666678237,1.400230864757623,2.8488379765826393,1.6966032931834505,23.09474110624531,1.0997495764878717
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Neural-PMP [3],best,445.57442515119664,0.7139290548582267,0.0016048380584991694,18.593218363149912,0.04745254289322612,0.0,3.0,1.6647398843930636,25.009014662500416,1.1909054601190674
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,constant u=1.5,constant,460.36342568876285,15.502929592424437,0.03484896889803204,208.63021069772802,0.22338242221845697,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
gamma_10,gamma,10,0.1,10.0,1.0,10.0,direct reference,direct_n400,230.38482862554915,0.0,0.0,1.435348545333909,0.025418490863915427,0.0,3.0,1.7622246523980627,12.572716517839963,0.5987007865638078
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Transformer,seed_0,230.49399182265375,0.10916319710460698,0.0004738297992791551,0.07107664606018603,0.008452375748588037,1.4523299653554063,2.8386706142587355,1.7755270145363617,12.554513202374778,0.5978339620178466
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Transformer,seed_1,230.47246189620296,0.08763327065381077,0.0003803777843212201,0.09095094759421825,0.009584411553568284,1.4354363724571766,2.8468855865340688,1.7739557486247863,12.562440589667636,0.5982114566508399
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Transformer,seed_2,230.48994993735326,0.10512131180411188,0.0004562857390881759,0.0938462402033354,0.009766921498989367,1.451594730336537,2.8339745212363745,1.773642570964997,12.559558229740407,0.5980742014162098
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Neural-PMP [3],best,230.77220829136283,0.38737966581368255,0.0016814460749205835,5.5025048576908455,0.04928174785812773,0.0,3.0,1.7397281674738323,13.591381747323249,0.6472086546344404
gamma_10,gamma,10,0.1,10.0,1.0,10.0,constant u=1.5,constant,250.40271607345238,20.017887447903234,0.08688891350757638,296.4416195493107,0.4943203738166103,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
