condition,family,value,beta,gamma,alpha,n0,method,n,J_mean,J_std,J_min,J_max,relative_gap_mean,relative_gap_std,pmp_gap_mean,pmp_gap_std
baseline,baseline,baseline,0.1,20.0,1.0,10.0,direct minimization,1,386.70613634630905,0.0,386.70613634630905,386.70613634630905,0.0,0.0,3.592309978721025,0.0
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Transformer,3,386.82596585146126,0.05160839576257494,386.76999473446574,386.8716672802422,0.00030987226187933293,0.00013345636624798127,0.5182215478739617,0.09541826281179437
baseline,baseline,baseline,0.1,20.0,1.0,10.0,Neural-PMP [3],1,387.6329204767537,0.0,387.6329204767537,387.6329204767537,0.0023966108715034787,0.0,22.1510157688144,0.0
baseline,baseline,baseline,0.1,20.0,1.0,10.0,constant u=1.5,1,400.40271607345244,0.0,400.40271607345244,400.40271607345244,0.03541857353635986,0.0,76.55645762115101,0.0
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,direct minimization,1,325.457147973552,0.0,325.457147973552,325.457147973552,0.0,0.0,3.7082261301412083,0.0
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Transformer,3,325.71308931112895,0.03032674000666618,325.69208358120915,325.7478569786295,0.0007864056425572287,9.318197555498326e-05,1.67425349724531,0.06518622974246377
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,Neural-PMP [3],1,326.0056546481425,0.0,326.0056546481425,326.0056546481425,0.001685342227097347,0.0,17.36063332048865,0.0
beta_0p05,beta,0.05,0.05,20.0,1.0,10.0,constant u=1.5,1,370.4223612657972,0.0,370.4223612657972,370.4223612657972,0.1381601650853865,0.0,178.11619870272304,0.0
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,direct minimization,1,444.8604960963384,0.0,444.8604960963384,444.8604960963384,0.0,0.0,4.199132037113657,0.0
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Transformer,3,444.92324180858196,0.005587865410236705,444.91826492519306,444.9292865423964,0.00014104581727114322,1.2560938674641476e-05,0.14160407267022013,0.013988776488997831
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,Neural-PMP [3],1,445.57442515119664,0.0,445.57442515119664,445.57442515119664,0.0016048380584991694,0.0,18.593218363149912,0.0
beta_0p20,beta,0.20,0.2,20.0,1.0,10.0,constant u=1.5,1,460.36342568876285,0.0,460.36342568876285,460.36342568876285,0.03484896889803204,0.0,208.63021069772802,0.0
gamma_10,gamma,10,0.1,10.0,1.0,10.0,direct minimization,1,230.38482862554915,0.0,230.38482862554915,230.38482862554915,0.0,0.0,1.435348545333909,0.0
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Transformer,3,230.48546788540332,0.01144338348154133,230.47246189620296,230.49399182265375,0.00043683110756285033,4.967073374497471e-05,0.08529127795257989,0.01239505948756591
gamma_10,gamma,10,0.1,10.0,1.0,10.0,Neural-PMP [3],1,230.77220829136283,0.0,230.77220829136283,230.77220829136283,0.0016814460749205835,0.0,5.5025048576908455,0.0
gamma_10,gamma,10,0.1,10.0,1.0,10.0,constant u=1.5,1,250.40271607345238,0.0,250.40271607345238,250.40271607345238,0.08688891350757638,0.0,296.4416195493107,0.0
gamma_40,gamma,40,0.1,40.0,1.0,10.0,direct minimization,1,614.914951085634,0.0,614.914951085634,614.914951085634,0.0,0.0,17.448827977680242,0.0
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Transformer,3,615.0430161803334,0.021102501072979164,615.0186497390306,615.0553509107489,0.00020826472746092635,3.431775570869208e-05,2.8379053784711257,0.15807780589911796
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Neural-PMP [3],1,615.173910621256,0.0,615.173910621256,615.173910621256,0.00042113065419017276,0.0,18.697470214772785,0.0
gamma_40,gamma,40,0.1,40.0,1.0,10.0,constant u=1.5,1,700.4027160734524,0.0,700.4027160734524,700.4027160734524,0.139023721633194,0.0,986.7766102444185,0.0
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,direct minimization,1,370.51293772708243,0.0,370.51293772708243,370.51293772708243,0.0,0.0,3.335432719354778,0.0
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Transformer,3,370.482350479253,0.023389586586956147,370.46565156972395,370.5090828765489,-8.255379155482443e-05,6.312758396627085e-05,0.18289937660421715,0.03863573424509935
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Neural-PMP [3],1,371.01306203391994,0.0,371.01306203391994,371.01306203391994,0.0013498160412576286,0.0,13.948372436531997,0.0
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,constant u=1.5,1,380.1817128443815,0.0,380.1817128443815,380.1817128443815,0.026095647770391712,0.0,76.11655521241597,0.0
alpha_2,alpha,2,0.1,20.0,2.0,10.0,direct minimization,1,404.4058586095275,0.0,404.4058586095275,404.4058586095275,0.0,0.0,4.556180839357383,0.0
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Transformer,3,404.5995375160181,0.03303334982556892,404.5718788064384,404.63611437702264,0.0004789221084889536,8.168365794488664e-05,0.917758919203041,0.026583068445854032
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Neural-PMP [3],1,405.4048731689956,0.0,405.4048731689956,405.4048731689956,0.002470326624107308,0.0,27.200394652443855,0.0
alpha_2,alpha,2,0.1,20.0,2.0,10.0,constant u=1.5,1,440.84472253159436,0.0,440.84472253159436,440.84472253159436,0.09010468851107856,0.0,777.621971056981,0.0
n0_5,N0,5,0.1,20.0,1.0,5.0,direct minimization,1,371.11844003018587,0.0,371.11844003018587,371.11844003018587,0.0,0.0,2.9835183163563035,0.0
n0_5,N0,5,0.1,20.0,1.0,5.0,Transformer,3,371.1675229660124,0.036609610361873685,371.1324515130047,371.20549783287964,0.00013225679603129156,9.864670254298289e-05,0.4724966735484544,0.08710060967340139
n0_5,N0,5,0.1,20.0,1.0,5.0,Neural-PMP [3],1,371.93334846718125,0.0,371.93334846718125,371.93334846718125,0.002195817693481079,0.0,27.43439770933045,0.0
n0_5,N0,5,0.1,20.0,1.0,5.0,constant u=1.5,1,386.45501371046817,0.0,386.45501371046817,386.45501371046817,0.04132528062748598,0.0,86.60308565043584,0.0
n0_20,N0,20,0.1,20.0,1.0,20.0,direct minimization,1,404.83925725016996,0.0,404.83925725016996,404.83925725016996,0.0,0.0,4.935378258516163,0.0
n0_20,N0,20,0.1,20.0,1.0,20.0,Transformer,3,405.20062947862607,0.07353980849411006,405.1375031335628,405.28138006674914,0.0008926313888397822,0.00018165187090209988,0.8822251065866299,0.04408453054813528
n0_20,N0,20,0.1,20.0,1.0,20.0,Neural-PMP [3],1,405.54380414653167,0.0,405.54380414653167,405.54380414653167,0.0017403126889108229,0.0,15.987364374039467,0.0
n0_20,N0,20,0.1,20.0,1.0,20.0,constant u=1.5,1,420.5950849531962,0.0,420.5950849531962,420.5950849531962,0.03891872495282712,0.0,78.24546698394379,0.0
